"CellID","vacuoles","cell_area","vac_area","PM_vac_ratio","cell_mpi","vac_mpi","pm_center_x","pm_center_y"
1,52,1608,1094,1.04535184085818,0.215087528710305,0.205756110338629,1170.33333333333,89.3009950248756
2,53,1415,795,1.0163911532496,0.181586803480243,0.178658386487992,1532.83180212014,114.17667844523
3,54,1639,1275,1.02015936492379,0.192467377789223,0.188664030745433,1486.40573520439,196.592434411226
4,55,1040,611,1.06059424809425,0.146768315227917,0.138383095601019,776.885576923077,262.385576923077
5,56,1689,762,1.0810006342472,0.205350694829816,0.189963528534671,350.637655417407,314.170515097691
6,57,1847,950,1.21576560582006,0.191760252098539,0.157727979127352,1164.23010286952,465.963183540877
7,58,1562,1076,1.03084719822013,0.18621743012086,0.180645036861316,606.453265044814,557.340588988476
8,59,2374,1881,1.19314298492591,0.173806095625732,0.145670802092948,123.511794439764,612.607834877843
9,60,2870,636,1.16971583724905,0.196255988966717,0.167780911155545,744.698606271777,641.63031358885
10,61,2201,1548,0.956307457952567,0.165688934959442,0.173259063893717,938.185370286233,636.784189004998
11,62,1433,1615,0.725925451403512,0.149459276380551,0.205887913272066,620.732030704815,659.359385903699
12,63,1665,1205,1.09184617143095,0.189238998669074,0.17332020171034,1609.53513513514,720.293693693694
13,64,1611,1087,1.14986012787349,0.187127021222496,0.162738942490824,713.417132216015,767.144009931719
14,65,603,1499,1.00991214660252,0.20858915918614,0.206541885735171,250.383084577114,767.273631840796
15,66,1487,881,1.14785574561508,0.173293561364895,0.150971550237818,1251.56691324815,792.843981170141
16,67,1499,1054,1.10799608321534,0.181175629764214,0.16351648937102,1846.0266844563,852.266844563042
17,68,1612,812,1.09594793197565,0.175783932249943,0.160394419407371,578.58064516129,866.116625310174
18,69,1338,1112,1.10553133800795,0.163650432458699,0.148028759414076,662.236173393124,880.430493273543
19,70,1677,1131,1.18814746746464,0.194416353558726,0.163629817747781,1465.48598688134,1010.54800238521
20,71,1547,1267,0.867833462431585,0.149558378556803,0.172335344315665,814.594053005818,1023.650937298
21,72,1804,1818,1.1732347763173,0.202010773681469,0.172182735935911,1368.79822616408,1049.02106430155
22,73,724,1473,1.07434709371302,0.248692719128196,0.231482656381278,270.03591160221,1043.29972375691
23,74,1608,956,1.1156900868744,0.175222764638697,0.157053259413268,863.891169154229,1109.40982587065
24,75,1546,1336,1.09085509982869,0.173883838573761,0.159401407758984,956.993531694696,1112.24773609314
25,76,1744,1315,1.05445977531815,0.18495614431115,0.175403698311151,1360.54357798165,1189.81422018349
26,77,1668,1986,1.09034593056867,0.159062678902426,0.145882764765735,425.271582733813,1225.1912470024
27,78,1755,1676,1.04046004201743,0.154534053159215,0.148524736096138,338.517378917379,1292.32877492877
28,79,1504,1287,1.05408700899543,0.179607128885166,0.170391179620302,1360.52792553191,1283.44813829787
29,80,1796,1659,1.06331142740441,0.163382051753912,0.153653997825204,574.935968819599,1311.26781737194
30,81,2022,1847,1.10817765550099,0.18457409481437,0.16655641259156,927.189416419387,1319.86399604352
31,82,1575,1208,1.06929417790364,0.167276857997847,0.156436705122433,1027.23682539683,1320.31111111111
32,83,1673,1480,1.03466820549444,0.162348842309501,0.156909085876393,107.313807531381,1363.28750747161
33,84,1828,1525,1.16500700925347,0.168394425348407,0.14454370146349,1778.98249452954,1405.20733041575
34,85,1536,688,1.1628529726803,0.186973881640853,0.160788926918157,1867.49348958333,1410.513671875
35,86,1804,1322,1.08263893940083,0.169974271123722,0.156999960871343,1101.39467849224,1494.70288248337
36,87,1767,1336,1.08275554583124,0.177857570286168,0.16426382757488,1377.26598754952,1525.6038483305
37,88,1805,1485,1.07200225353872,0.180107924821631,0.168010770711618,180.181163434903,1531.27423822715
38,89,1282,454,0.880869481007502,0.131620085586211,0.149420644515541,1792.08658346334,1623.21294851794
39,90,1839,800,1.12552402751421,0.174063371738524,0.154650960337962,913.093529091898,1693.65905383361
40,91,1646,1404,1.02388659287002,0.165448586969148,0.161588781532323,759.965370595383,1725.51822600243
41,92,1594,725,1.1122514438395,0.174906605500389,0.157254554686493,1329.1643663739,1727.71267252196
42,93,1544,1432,0.868070690469918,0.146696599649517,0.168991536357603,108.108160621762,1735.24611398964
43,94,1846,1205,1.06402313029923,0.16304716219803,0.153236482887527,659.598049837486,1745.58396533044
44,95,1463,850,1.05782668817197,0.166128966061505,0.157047433118361,251.013670539986,1767.06356801094
45,96,1339,1556,0.866531243402082,0.154006037398962,0.177727045125713,550.218820014937,1795.02016430172
46,97,1415,981,1.10043793699722,0.179588098070758,0.163196934632046,1274.62332155477,1794.42332155477
47,98,1910,1303,1.0422763913271,0.158655480445484,0.152220161336929,1917.11727748691,1916.06596858639
48,99,1753,1936,1.03458120659742,0.161353093113851,0.155959814546136,947.43696520251,1938.15516257844
49,100,1491,1888,0.906529038619514,0.15407522574986,0.169961710200139,753.065057008719,1934.05566733736
50,101,1682,949,1.05984878295674,0.166475674878325,0.157074931400964,102.432223543401,1947.29072532699
51,102,1781,1152,1.04798986818115,0.173040084233913,0.165116180497275,355.054463784391,1960.77035373386
