"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"9ArrD 316 Git1GFPA_003","9ArrD 316 Git1GFPA_004","9ArrD 316 Git1GFPA_005","9ArrD 316 Git1GFPA_006","9ArrD 316 Git1GFPA_008","9ArrD Aiy1 Git1GFPA_003","9ArrD Aiy1 Git1GFPA_004","9ArrD Aiy1 Git1GFPA_005","9ArrD Aiy1 Git1GFPA_006","9ArrD Aiy1 Git1GFPA_007","9ArrD Aiy1 Git1GFPA_008","9ArrD Aly2 Git1GFPA_003","9ArrD Aly2 Git1GFPA_004","9ArrD Aly2 Git1GFPA_008","9ArrD Csr2 Git1GFPA_002","9ArrD Csr2 Git1GFPA_003","9ArrD Csr2 Git1GFPA_004","9ArrD Csr2 Git1GFPA_006","9ArrD Csr2 Git1GFPA_007","9ArrD Ecm21 Git1GFPA_003","9ArrD Ecm21 Git1GFPA_006","9ArrD Ecm21 Git1GFPA_007","9ArrD Ldb19 Git1GFPA_003","9ArrD Ldb19 Git1GFPA_005","9ArrD Ldb19 Git1GFPA_008","9ArrD Rod1 Git1GFPA_002","9ArrD Rod1 Git1GFPA_005","9ArrD Rod1 Git1GFPA_008","9ArrD Rod1 Git1GFPA_011","9ArrD Rog3 Git1GFPA_003","9ArrD Rog3 Git1GFPA_005","9ArrD Rog3 Git1GFPA_006","9ArrD Ylr392c Git1GFPA_003","9ArrD Ylr392c Git1GFPA_005","9ArrD Ylr392c Git1GFPA_007","9ArrDYgr068c Git1GFPA_005","9ArrDYgr068c Git1GFPA_006","9ArrDYgr068c Git1GFPA_007","WT 316 Git1GFPA_002","WT 316 Git1GFPA_003","WT 316 Git1GFPA_004","WT 316 Git1GFPA_005","WT 316 Git1GFPA_006","WT 316 Git1GFPA_007","WT 316 Git1GFPA_008","WT 316 Git1GFPA_009"
"15651.930"," 8880.237"," 7720.683","10984.103"," 4643.494","14637.126"," 7507.849","10312.881","19607.993"," 9548.177"," 3759.254"," 8018.100","11636.510","14755.345"," 4561.091"," 7673.824"," 2343.915"," 6115.668"," 9723.795"," 3645.961"," 4696.925","24228.027","18481.250","10647.261","16140.850"," 1839.602","11756.248"," 2282.265","13075.408"," 8291.702"," 6394.295","13444.813","23768.717"," 4098.034"," 6440.274"," 7084.547","10111.369"," 4469.096","13177.426"," 8128.179"," 6658.952"," 6049.259"," 2832.224"," 3982.181"," 4840.747","11471.113"
"12954.884"," 4653.597"," 5760.885"," 9365.356"," 8485.200"," 3858.372"," 9554.536"," 7832.628","12908.466","13594.127"," 4241.641","14794.755","12748.874"," 3791.484"," 5232.747","10698.538","13580.688","14407.931"," 8869.714"," 7148.898","11810.394","24049.873"," 8150.593"," 5220.388","13643.047","10564.876","14029.869","19125.090"," 5577.800"," 3933.978","17314.340"," 3695.488","16058.877"," 4318.282"," 8443.654"," 5234.250","11539.671"," 7694.683"," 5008.932"," 4955.793"," 2674.214","11740.522"," 4842.029"," 9049.414"," 3404.633","11940.247"
"18705.121"," 2182.742","14781.458","11594.524"," 5152.875"," 4965.322"," 7630.355"," 3694.601","12942.171"," 8579.750"," 6598.351"," 2898.753"," 6821.735"," 5389.917","17801.364"," 6747.514","12349.873"," 6866.097"," 8126.689"," 3505.830","19372.077","13282.500"," 2906.616","22259.428","13512.323"," 6549.516"," 3113.413"," 8160.430"," 7133.984","11117.434","16540.806"," 5896.028","13606.038","12429.491","10639.889"," 4110.545"," 4337.773"," 4674.946"," 8373.301","11234.275"," 5164.472","11435.722"," 5933.912"," 5403.530"," 4700.581"," 6171.539"
" 6353.837"," 4622.854"," 4609.430","14121.842"," 5347.221"," 3905.576","15764.567","10725.236"," 9171.013"," 6764.591"," 5739.656"," 6983.900"," 9030.418"," 7339.212"," 6455.850"," 8103.754","20302.231","23406.911"," 8824.472","15629.209"," 2751.367","16827.233"," 5928.775"," 4579.196"," 3756.258"," 7278.945","16983.225"," 3907.572"," 7683.776"," 7169.174","15086.100"," 2806.757"," 9871.178"," 9531.487","14741.683"," 6846.900"," 4289.015","13556.054"," 5461.529"," 7953.825"," 5533.855"," 6167.358"," 6780.446","18748.369"," 4852.124","10584.056"
" 8155.093","13210.433"," 6795.392"," 8921.903"," 5923.271"," 4276.749"," 4232.829","10312.522"," 4055.986","11254.916"," 8465.181","12486.017","12461.525"," 3909.886","17966.254"," 6591.113"," 6912.090"," 8209.982"," 4211.295","16048.764"," 7368.879","10315.929","22025.404"," 4885.971","10584.030"," 4154.273"," 4029.860"," 2971.203","11392.126"," 5023.574"," 7414.220","18615.249"," 5321.035","13787.820"," 4766.242","11386.690"," 8359.860","19049.941"," 9420.875","15657.563"," 3096.701","12966.935"," 3563.650"," 5155.284"," 7548.676","13944.095"
"15268.632","13822.303"," 7259.329","18771.138"," 7522.885"," 6926.047","20067.269"," 4365.585"," 2711.667","10422.449"," 4057.781","12591.678","15802.053"," 6404.946"," 8473.304"," 4122.197","11133.061"," 6825.849","19704.692"," 5029.443"," 9353.660"," 3743.523","20002.192"," 5479.760","12967.908","10216.370"," 7297.265"," 7947.681"," 4519.021","22774.759"," 7011.899"," 4519.599","20902.420","12311.000"," 4697.654"," 9925.631"," 8173.890"," 5041.666"," 4371.331","18081.541"," 1986.310","14847.503"," 3610.000"," 5856.157","12346.633","16171.007"
" 8481.852"," 7815.603"," 8066.014","21837.128"," 4798.352","10916.669","16184.967","14322.028","11976.115"," 6818.088","16337.968"," 7212.780","12698.157","12403.867"," 7251.526","12020.690","15873.335"," 7142.251"," 8232.261","13795.889"," 3912.490","16142.654"," 4700.908","11195.767","13848.484","18305.707"," 4740.942"," 5483.960","26048.228","27055.214","21213.047"," 4300.036"," 4050.310"," 9720.913"," 3229.051"," 8216.052"," 2852.375"," 7198.470"," 5561.710"," 8723.007","11639.364","11401.432"," 3064.911"," 6758.902"," 4386.710"," 4868.566"
" 4909.748"," 9142.407"," 8803.127","18455.572","16107.361"," 9748.875"," 5279.821"," 9935.264","19187.689"," 5218.204"," 4596.774"," 7138.596"," 6559.196","27868.783","15263.672","13979.375","10662.859","10807.963","12353.571","15966.971","11044.732"," 4955.745"," 7824.905"," 5035.060","10647.566","13525.702"," 3820.581"," 6681.427"," 7932.694"," 3119.234","13160.402"," 8338.318"," 6874.803","10353.040","16854.645"," 4485.001"," 4795.144","14065.530"," 5602.309","24754.593"," 5310.997","13586.630"," 4715.779"," 5172.910","11346.735","14838.140"
" 4340.716","10848.630","13099.279","11678.053"," 6883.019"," 8735.084","14056.286","16564.515","11545.671"," 3844.228","12171.579"," 8007.937"," 3327.156","11760.604"," 3449.294"," 4533.110","15857.757"," 3064.725","10302.015","14157.656"," 3969.866","14167.614"," 3346.031"," 3153.660"," 9539.221","21096.267"," 3606.701"," 6281.534"," 5231.648"," 3831.588"," 7279.212"," 3709.555"," 7836.406","13588.705","12186.578","17493.481"," 3246.785"," 5906.952"," 3472.829","14473.972"," 3973.153"," 7336.857"," 7178.045","15523.161","10254.349"," 6112.662"
