"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"9ArrD 316 Git1GFPA_003","9ArrD 316 Git1GFPA_004","9ArrD 316 Git1GFPA_005","9ArrD 316 Git1GFPA_006","9ArrD 316 Git1GFPA_008","9ArrD Aiy1 Git1GFPA_003","9ArrD Aiy1 Git1GFPA_004","9ArrD Aiy1 Git1GFPA_005","9ArrD Aiy1 Git1GFPA_006","9ArrD Aiy1 Git1GFPA_007","9ArrD Aiy1 Git1GFPA_008","9ArrD Aly2 Git1GFPA_003","9ArrD Aly2 Git1GFPA_004","9ArrD Aly2 Git1GFPA_008","9ArrD Csr2 Git1GFPA_002","9ArrD Csr2 Git1GFPA_003","9ArrD Csr2 Git1GFPA_004","9ArrD Csr2 Git1GFPA_006","9ArrD Csr2 Git1GFPA_007","9ArrD Ecm21 Git1GFPA_003","9ArrD Ecm21 Git1GFPA_006","9ArrD Ecm21 Git1GFPA_007","9ArrD Ldb19 Git1GFPA_003","9ArrD Ldb19 Git1GFPA_005","9ArrD Ldb19 Git1GFPA_008","9ArrD Rod1 Git1GFPA_002","9ArrD Rod1 Git1GFPA_005","9ArrD Rod1 Git1GFPA_008","9ArrD Rod1 Git1GFPA_011","9ArrD Rog3 Git1GFPA_003","9ArrD Rog3 Git1GFPA_005","9ArrD Rog3 Git1GFPA_006","9ArrD Ylr392c Git1GFPA_003","9ArrD Ylr392c Git1GFPA_005","9ArrD Ylr392c Git1GFPA_007","9ArrDYgr068c Git1GFPA_005","9ArrDYgr068c Git1GFPA_006","9ArrDYgr068c Git1GFPA_007","WT 316 Git1GFPA_002","WT 316 Git1GFPA_003","WT 316 Git1GFPA_004","WT 316 Git1GFPA_005","WT 316 Git1GFPA_006","WT 316 Git1GFPA_007","WT 316 Git1GFPA_008","WT 316 Git1GFPA_009"
"3.0919667","2.4105834","1.8594259","1.9974728","1.6440058","2.2509095","2.3196055","2.2183044","2.0706012","2.4929966","2.3698604","1.2196136","0.6977875","1.8588984","2.9550772","2.4366107","2.1964345","2.5180879","3.0787417","2.9467083","2.4116440","2.5508206","2.6962751","2.2672903","2.9943987","3.5261816","2.6889270","2.7130037","2.9069948","2.8941587","1.8680853","2.0368271","2.2373277","2.7876752","3.2930316","3.2845689","2.1808988","2.8008681","1.2155624","2.0399974","0.8593844","1.5864449","0.7986234","1.3975416","1.9835201","1.7645760"
"2.8610721","2.1083022","2.7723220","2.6285643","2.0911582","2.3559495","1.6938732","1.9842477","1.9126500","1.9392170","1.6119431","1.3193777","1.1439835","0.7089269","2.4042867","3.0322827","2.7959816","3.9850987","3.5156202","2.6825691","2.6631431","2.7239739","2.9166826","1.9769476","2.9770929","3.1674066","2.4768803","2.6089868","2.7328057","2.7007315","1.4214635","2.5636136","2.7621554","2.6602544","2.6905672","2.5502965","3.5188135","2.4005042","1.1554174","1.2202721","1.6536364","1.4566386","1.5807645","1.2700134","1.0092446","1.5700720"
"2.2198813","1.3795333","2.8814003","2.0150113","2.1383620","2.6519267","1.4133072","2.0385230","1.9318482","2.5483646","2.4996835","1.4322233","1.4872115","1.0077999","3.1941727","2.9363341","3.2352341","3.1124764","2.2890168","2.8736663","1.7533363","2.8536395","2.1424592","2.2876169","3.2707280","1.7633399","2.4729256","3.2190083","1.4750453","2.4950678","3.6377406","2.6850417","2.3949584","3.4080184","2.7560926","2.0617574","3.4090774","1.6787386","1.8658889","1.0159440","0.8174544","1.5463790","1.3538279","1.3128522","0.8599657","1.2639516"
"2.6757584","0.9617869","1.8202927","2.5640529","2.2852677","1.4882823","1.3328417","1.6388156","1.7609816","1.5870913","1.7397473","0.8538508","1.5990582","1.2253288","2.7280959","2.7258766","1.5027096","2.4091209","2.3584618","3.0631262","2.1625282","2.0340416","2.3067239","2.7817617","2.1855017","3.6613444","2.4427343","2.5130647","1.9561442","2.0563758","2.5987324","1.3531973","2.9091234","2.1939110","2.9219122","3.2473949","2.4032175","2.8523615","1.1256387","1.1093348","1.3659008","1.6007266","1.3136641","1.5692029","2.1193405","1.1290468"
"3.1386731","2.8763436","2.8616537","2.9816183","3.1973738","2.0387802","3.1375984","1.9850601","1.2158139","1.9164148","2.2772188","1.1134873","1.3732688","3.0673350","2.5970656","2.3220985","2.7862012","3.3418633","2.6514032","3.1099385","1.7033603","2.5722169","2.3539515","2.6603369","2.5826645","3.0906335","2.6196867","1.3788513","3.4824108","3.0878033","2.9814839","2.5728404","1.9028507","2.9679487","2.3986810","2.7795481","3.8058323","2.3361284","1.0899301","1.3518767","1.4027480","1.0603452","1.1032508","1.0907121","0.9876731","1.2548386"
"2.2834580","3.0253416","1.8996819","2.5154762","2.5976360","1.5725672","2.0819669","1.9784452","1.8301580","1.5692405","1.7143336","1.0905238","0.8898385","1.0693471","2.7830289","2.1508950","2.6317219","3.7537891","1.5621225","3.4126134","2.6950479","2.4906800","1.8146770","1.3928741","2.5543912","3.3244030","3.0031556","2.7296067","2.3723266","2.0246067","2.7357677","2.1845098","2.8551430","3.4001350","3.1185096","1.9097817","3.1483402","1.8975983","1.6668604","1.4037023","0.8404352","1.5563971","1.4589373","1.8191724","1.6743655","1.2135073"
"2.8281065","2.7188247","2.5880974","2.2870273","2.4363537","1.8165478","1.9571681","2.7873601","2.0652474","2.4201329","2.0011403","1.5081646","0.9763212","2.8140347","3.3058441","3.1013374","2.8035924","3.4742409","3.2740252","3.2833645","2.7503519","2.8068821","1.1114376","2.9206993","2.6070836","3.8476716","2.5297907","1.5583221","2.0050772","1.5362457","2.2141924","2.7819884","2.3357142","3.6011026","2.4193566","2.6074304","3.2337991","2.8012277","1.2371618","1.2192844","1.1846323","1.1317792","0.9450502","1.3621642","1.1070607","1.3070593"
"2.4832555","2.9474504","2.1939040","2.9137162","2.2046379","1.0303691","1.7314620","2.0420972","1.8605921","2.4873584","1.8327225","1.4983989","0.9647215","0.8285860","3.5202760","2.5098221","3.3049190","1.9134617","3.5688099","3.4901806","1.0772931","2.3441342","2.9138432","3.1920135","1.9942437","2.8043125","2.5666158","2.6087271","2.9015855","1.4939000","1.9136857","2.3466875","1.7787546","1.8569911","3.2170671","1.3702326","3.2004024","2.1085944","1.2770041","1.0534943","1.4892101","1.0351520","1.7620196","1.0582531","1.3107535","1.3087919"
"2.4904544","2.9185921","2.2373944","1.2444830","2.5339905","2.9174212","1.6555341","2.7090158","1.6611233","2.1676625","1.9041035","1.3738829","1.5731503","0.9380576","2.2628075","3.2627060","2.4489072","2.8791843","3.5273670","3.7227712","2.6876697","3.0006944","1.9259883","2.3146649","1.6981127","2.7723422","2.4698171","2.5196381","2.0635242","2.2917624","2.3539095","1.4240448","3.0350046","3.6347275","2.8841615","3.4615587","1.6709448","2.7725384","1.4478536","1.3808471","0.9353186","1.1134057","1.2175693","1.0115222","1.4021225","1.3125629"
