"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"9ArrD 316 Git1GFPA_003","9ArrD 316 Git1GFPA_004","9ArrD 316 Git1GFPA_005","9ArrD 316 Git1GFPA_006","9ArrD 316 Git1GFPA_008","9ArrD Aiy1 Git1GFPA_003","9ArrD Aiy1 Git1GFPA_004","9ArrD Aiy1 Git1GFPA_005","9ArrD Aiy1 Git1GFPA_006","9ArrD Aiy1 Git1GFPA_007","9ArrD Aiy1 Git1GFPA_008","9ArrD Aly2 Git1GFPA_003","9ArrD Aly2 Git1GFPA_004","9ArrD Aly2 Git1GFPA_008","9ArrD Csr2 Git1GFPA_002","9ArrD Csr2 Git1GFPA_003","9ArrD Csr2 Git1GFPA_004","9ArrD Csr2 Git1GFPA_006","9ArrD Csr2 Git1GFPA_007","9ArrD Ecm21 Git1GFPA_003","9ArrD Ecm21 Git1GFPA_006","9ArrD Ecm21 Git1GFPA_007","9ArrD Ldb19 Git1GFPA_003","9ArrD Ldb19 Git1GFPA_005","9ArrD Ldb19 Git1GFPA_008","9ArrD Rod1 Git1GFPA_002","9ArrD Rod1 Git1GFPA_005","9ArrD Rod1 Git1GFPA_008","9ArrD Rod1 Git1GFPA_011","9ArrD Rog3 Git1GFPA_003","9ArrD Rog3 Git1GFPA_005","9ArrD Rog3 Git1GFPA_006","9ArrD Ylr392c Git1GFPA_003","9ArrD Ylr392c Git1GFPA_005","9ArrD Ylr392c Git1GFPA_007","9ArrDYgr068c Git1GFPA_005","9ArrDYgr068c Git1GFPA_006","9ArrDYgr068c Git1GFPA_007","WT 316 Git1GFPA_002","WT 316 Git1GFPA_003","WT 316 Git1GFPA_004","WT 316 Git1GFPA_005","WT 316 Git1GFPA_006","WT 316 Git1GFPA_007","WT 316 Git1GFPA_008","WT 316 Git1GFPA_009"
" 5062.1277"," 3683.8539"," 4152.1863"," 5499.0000"," 2824.5000"," 6502.7607"," 3236.6921"," 4648.9930"," 9469.7101"," 3830.0000"," 1586.2767"," 6574.2959","16676.2936"," 7937.6823"," 1543.4762"," 3149.3846"," 1067.1453"," 2428.6951"," 3158.3666"," 1237.2996"," 1947.6029"," 9498.1304"," 6854.3636"," 4696.0292"," 5390.3477","  521.6979"," 4372.0962","  841.2317"," 4497.9125"," 2864.9784"," 3422.9140"," 6600.8612","10623.7083"," 1470.0545"," 1955.7281"," 2156.9185"," 4636.3311"," 1595.6111","10840.6000"," 3984.4068"," 7748.5135"," 3813.0911"," 3546.3818"," 2849.4186"," 2440.4828"," 6500.7756"
" 4527.983"," 2207.272"," 2078.000"," 3562.917"," 4057.656"," 1637.714"," 5640.644"," 3947.404"," 6748.996"," 7010.111"," 2631.384","11213.434","11144.282"," 5348.201"," 2176.424"," 3528.213"," 4857.217"," 3615.452"," 2522.944"," 2664.945"," 4434.758"," 8828.966"," 2794.474"," 2640.630"," 4582.674"," 3335.497"," 5664.331"," 7330.466"," 2041.053"," 1456.634","12180.643"," 1441.515"," 5813.893"," 1623.259"," 3138.243"," 2052.408"," 3279.421"," 3205.445"," 4335.171"," 4061.219"," 1617.172"," 8060.010"," 3063.093"," 7125.448"," 3373.447"," 7604.904"
" 8426.181"," 1582.233"," 5129.956"," 5754.074"," 2409.730"," 1872.345"," 5398.936"," 1812.391"," 6699.373"," 3366.767"," 2639.674"," 2023.954"," 4586.930"," 5348.201"," 5573.075"," 2297.938"," 3817.304"," 2205.992"," 3550.297"," 1219.985","11048.695"," 4654.582"," 1356.673"," 9730.400"," 4131.289"," 3714.267"," 1259.000"," 2535.076"," 4836.451"," 4455.765"," 4547.000"," 2195.879"," 5681.117"," 3647.131"," 3860.498"," 1993.709"," 1272.419"," 2784.797"," 4487.567","11057.967"," 6317.750"," 7395.161"," 4383.062"," 4115.871"," 5466.011"," 4882.733"
" 2374.593"," 4806.526"," 2532.247"," 5507.625"," 2339.866"," 2624.217","11827.786"," 6544.505"," 5207.898"," 4262.257"," 3299.132"," 8179.298"," 5647.335"," 5989.586"," 2366.431"," 2972.898","13510.415"," 9715.955"," 3741.622"," 5102.372"," 1272.292"," 8272.807"," 2570.214"," 1646.150"," 1718.717"," 1988.053"," 6952.547"," 1554.903"," 3928.021"," 3486.315"," 5805.176"," 2074.167"," 3393.179"," 4344.519"," 5045.218"," 2108.429"," 1784.697"," 4752.572"," 4851.938"," 7169.904"," 4051.433"," 3852.849"," 5161.476","11947.702"," 2289.450"," 9374.328"
" 2598.261"," 4592.787"," 2374.638"," 2992.302"," 1852.542"," 2097.700"," 1349.067"," 5195.068"," 3336.025"," 5872.902"," 3717.333","11213.434"," 9074.352"," 1274.685"," 6917.905"," 2838.430"," 2480.830"," 2456.708"," 1588.327"," 5160.476"," 4326.083"," 4010.521"," 9356.779"," 1836.599"," 4098.105"," 1344.149"," 1538.299"," 2154.840"," 3271.333"," 1626.909"," 2486.755"," 7235.291"," 2796.349"," 4645.572"," 1987.026"," 4096.597"," 2196.592"," 8154.492"," 8643.558","11582.094"," 2207.596","12228.974"," 3230.136"," 4726.531"," 7642.889","11112.261"
" 6686.627"," 4568.840"," 3821.339"," 7462.260"," 2896.050"," 4404.294"," 9638.611"," 2206.574"," 1481.657"," 6641.716"," 2366.973","11546.450","17758.338"," 5989.586"," 3044.634"," 1916.503"," 4230.333"," 1818.389","12614.051"," 1473.780"," 3470.684"," 1503.013","11022.453"," 3934.139"," 5076.712"," 3073.144"," 2429.866"," 2911.658"," 1904.890","11248.979"," 2563.046"," 2068.931"," 7320.971"," 3620.738"," 1506.378"," 5197.259"," 2596.254"," 2656.867"," 2622.494","12881.321"," 2363.430"," 9539.662"," 2474.404"," 3219.133"," 7373.917","13325.843"
" 2999.1275"," 2874.6254"," 3116.5805"," 9548.2588"," 1969.4810"," 6009.5689"," 8269.5848"," 5138.2053"," 5798.8768"," 2817.2370"," 8164.3288"," 4782.4887","13006.1259"," 4407.8586"," 2193.5476"," 3875.9698"," 5661.7841"," 2055.7732"," 2514.4158"," 4201.7537"," 1422.5414"," 5751.0980"," 4229.5741"," 3833.2489"," 5311.8682"," 4757.6064"," 1874.0452"," 3519.1438","12991.1350","17611.2545"," 9580.4895"," 1545.6701"," 1734.0776"," 2699.4268"," 1334.6736"," 3151.0149","  882.0506"," 2569.7556"," 4495.5400"," 7154.2015"," 9825.2969","10073.9015"," 3243.1197"," 4961.8846"," 3962.4835"," 3724.8244"
" 1977.142"," 3101.802"," 4012.540"," 6334.032"," 7306.126"," 9461.536"," 3049.343"," 4865.226","10312.679"," 2097.890"," 2508.167"," 4764.149"," 6799.057","33634.146"," 4335.930"," 5569.867"," 3226.360"," 5648.382"," 3461.538"," 4574.826","10252.300"," 2114.105"," 2685.424"," 1577.393"," 5339.150"," 4823.179"," 1488.568"," 2561.183"," 2733.917"," 2087.981"," 6876.992"," 3553.229"," 3864.953"," 5575.169"," 5239.134"," 3273.168"," 1498.294"," 6670.571"," 4387.072","23497.605"," 3566.318","13125.251"," 2676.349"," 4888.160"," 8656.651","11337.280"
" 1742.941"," 3717.077"," 5854.703"," 9383.860"," 2716.276"," 2994.111"," 8490.484"," 6114.588"," 6950.520"," 1773.444"," 6392.289"," 5828.690"," 2114.964","12537.187"," 1524.343"," 1389.371"," 6475.442"," 1064.442"," 2920.596"," 3802.989"," 1477.066"," 4721.445"," 1737.306"," 1362.470"," 5617.543"," 7609.546"," 1460.311"," 2493.030"," 2535.298"," 1671.896"," 3092.393"," 2604.942"," 2582.008"," 3738.576"," 4225.345"," 5053.643"," 1943.083"," 2130.521"," 2398.605","10481.951"," 4247.914"," 6589.563"," 5895.389","15346.338"," 7313.447"," 4657.043"
