"CellID","vacuoles","cell_area","vac_area","PM_vac_ratio","cell_mpi","vac_mpi","pm_center_x","pm_center_y"
1,40,302,305,2.25090951408453,0.223348223511323,0.0992257672348776,111.658940397351,20.4701986754967
2,41,309,294,2.35594950959469,0.0588749854014617,0.0249899181462468,230.705501618123,47.7411003236246
3,42,428,501,2.65192665318101,0.0757659636821018,0.0285701580740251,295.57476635514,82.0584112149533
4,43,203,46,1.48828232280656,0.0595952751152789,0.0400429906356046,454.76354679803,89.0147783251231
5,44,315,330,2.03878019085151,0.0652590097863616,0.0320088502327001,423.053968253968,99.8825396825397
6,45,400,201,1.57256718907263,0.10568471046006,0.0672052114494287,169.58,111.3375
7,46,438,283,1.81654776292308,0.166577690543552,0.0917001435049003,122.831050228311,117.353881278539
8,47,168,412,1.03036912609638,0.148758297093156,0.144373791222507,230.589285714286,122.684523809524
9,48,369,359,2.91742115898021,0.133288838190892,0.0456872117282797,333.238482384824,141.582655826558
10,49,657,272,1.76658597846892,0.136594838943579,0.0773213648293325,211.922374429224,160
11,50,629,448,2.42255822854574,0.146589032450651,0.0605100140518185,140.492845786963,166.70906200318
12,51,107,343,1.15192001902372,0.128138563327437,0.111239114878859,97.1028037383178,156.130841121495
13,52,354,428,2.59170181300209,0.220371225277906,0.0850295447463687,398.805084745763,167.488700564972
14,53,651,336,0.95413425898642,0.453982505097767,0.475805685438897,49.0599078341014,181.413210445469
15,54,896,28,1.72227655341938,0.277782302123184,0.161287861448081,333.833705357143,204.691964285714
16,55,597,496,2.97618195392996,0.12530742008918,0.0421034137122279,108.654941373534,219.140703517588
17,56,849,762,2.45651633436219,0.278402346258839,0.113332177915733,152.771495877503,224.2308598351
18,57,825,605,1.94760245772614,0.157249048045111,0.0807398077679067,293.367272727273,224.151515151515
19,58,421,419,1.81377496178721,0.357466944373616,0.197084507121757,214.311163895487,210.484560570071
20,59,927,438,0.937122704241546,0.448706946040099,0.478813440341579,70.19309600863,223.760517799353
21,60,820,519,1.80766482907197,0.340362904201255,0.188288724063959,235.841463414634,249.436585365854
22,61,136,444,1.04033992403479,0.228264084301608,0.219412981303574,227.970588235294,252.977941176471
23,62,255,267,2.09862339850377,0.0716565463447911,0.0341445475142796,57.6941176470588,263.192156862745
24,63,203,70,1.57205788129809,0.0372918468339972,0.0237216754406043,385.241379310345,264.054187192118
25,64,420,395,2.49852842588729,0.090223290353755,0.03611057189462,28.797619047619,286.297619047619
26,65,311,189,2.82786146254628,0.165906438644871,0.05866851712583,193.102893890675,292.983922829582
27,66,346,82,1.92430375701908,0.0772368469215805,0.0401375544998297,298.64161849711,296.161849710983
28,67,389,214,2.15255236676225,0.346216066573269,0.160839788113507,389.976863753213,336.460154241645
29,68,347,273,2.68650117476373,0.176775768673228,0.0658014857145093,399.389048991354,372.305475504323
30,69,576,574,2.25470712130616,0.21050422060307,0.0933621128056423,23.5069444444444,391.336805555556
31,70,696,449,2.1451455833852,0.180204576128049,0.0840057558441667,88.1451149425287,407.176724137931
32,71,2168,576,1.55183964099033,0.309892808186493,0.199693834337632,227.959409594096,455.310885608856
33,72,402,161,1.74853750363643,0.240316841063622,0.137438768435813,173.445273631841,394.599502487562
34,73,360,130,1.96057670481645,0.247145588023363,0.126057596938805,374.591666666667,397.541666666667
35,74,256,26,1.30376169395533,0.1440526173991,0.110489990668521,310.09765625,406.11328125
36,75,352,227,1.35438714669858,0.197071091436221,0.145505730703807,134.821022727273,416.997159090909
37,76,247,56,1.54392101421204,0.0427801196566782,0.0277087488691975,442.222672064777,418.623481781377
38,77,143,227,1.04569372699029,0.15215442983811,0.145505730703807,133.601398601399,417.678321678322
39,78,248,188,1.42049757808631,0.0672225749845564,0.0473232591322811,52.9314516129032,433.479838709677
