"CellID","vacuoles","cell_area","vac_area","PM_vac_ratio","cell_mpi","vac_mpi","pm_center_x","pm_center_y"
1,40,305,413,2.19643454497783,2343.91475409836,1067.14527845036,64.0819672131148,24.8983606557377
2,41,1228,820,2.79598162091665,13580.6881107492,4857.21651714463,403.602605863192,57.2630293159609
3,42,393,378,3.23523408676928,12349.8727735369,3817.30423280423,462.641221374046,36.2748091603053
4,43,1082,644,1.50270963761409,20302.2310536044,13510.4151496886,250.707948243993,72.6765249537893
5,44,388,176,2.78620117970222,6912.09020618557,2480.82954545455,58.4536082474227,66.9484536082474
6,45,279,123,2.6317219128279,11133.0609318996,4230.33333333333,475.111111111111,70.1111111111111
7,46,352,315,2.8035924491752,15873.3352272727,5661.78412698413,444.457386363636,79.1676136363636
8,47,839,595,3.30491904670511,10662.8593563766,3226.36022416559,149.179976162098,120.451728247914
9,48,676,260,2.44890721636296,15857.7573964497,6475.44230769231,208.113905325444,107.463017751479
10,49,604,235,1.48670975932572,26560.4105960265,17865.2291944815,308.604304635762,111.933774834437
11,50,129,214,0.999857133811827,20158.0542635659,20160.9345794393,310.108527131783,117.806201550388
12,51,291,222,2.86614833689067,4753.4295532646,1658.47297297297,262.821305841924,126.343642611684
13,52,465,331,2.81107328909002,17805.0494623656,6333.89728096677,208.141935483871,153.101075268817
14,53,333,377,3.41276965302258,7742.16216216216,2268.58620689655,416.09009009009,145.990990990991
15,54,398,323,3.12573058095261,14724.2135678392,4710.64705882353,53.6005025125628,171.595477386935
16,55,432,208,3.89692346236255,6209.56018518519,1593.45192307692,446.75462962963,174.840277777778
17,56,248,298,3.08332078749666,2977.39112903226,965.644295302013,160.798387096774,179.5
18,57,1055,871,3.75162067249245,7315.78862559242,1950.03420234702,396.215165876777,245.084360189573
19,58,791,472,2.50165652181108,17524.3906447535,7005.11460784658,302.87610619469,245.197218710493
20,59,1571,1138,3.02191698116058,10580.3099936346,3501.19148196163,88.5295989815404,253.307447485678
21,60,454,270,2.9794201570897,10957.7114537445,3677.8,346.235682819383,242.900881057269
22,61,499,417,2.90532978652629,10131.2124248497,3487.11270983213,335.717434869739,287.905811623247
23,62,385,318,3.38221188104261,12908.3818181818,3816.55031446541,231.937662337662,280.636363636364
24,63,881,345,3.53921958977374,4844.20431328036,1368.72103875025,310.940976163451,325.908059023837
25,64,875,687,2.88821055895663,11717.648,4057.0615475601,48.9451428571429,327.717714285714
26,65,863,660,3.37431962153729,11880.8331402086,3520.9566587518,130.287369640788,333.066048667439
27,66,455,346,2.57270112681589,14148.4285714286,5499.4450867052,440.197802197802,336.707692307692
28,67,331,238,3.6547352803121,4937.88519637462,1351.09243697479,253.770392749245,349.069486404834
29,68,308,158,2.88824147835015,17579.1720779221,6086.46202531646,243.175324675325,389.769480519481
30,69,751,215,2.97714511330527,4490.58721704394,1508.35348837209,260.798934753662,416.749667110519
31,70,1416,831,1.34632184363942,24945.5240112994,18528.6483534026,345.187853107345,426.472457627119
32,71,264,337,1.00286218462407,22615.0303030303,22550.4866468843,363.109848484848,402.412878787879
33,72,592,336,3.12988549349788,8325.87331081081,2660.12073863636,189.204391891892,434.858108108108
34,73,400,218,3.06244516952467,20472.165,6684.90825688073,427.63,430.1875
35,74,192,255,1.08557444678124,18543.8125,17082.0274509804,326.359375,425.90625
36,75,254,70,2.57780472166889,5247.96850393701,2035.82857142857,274.783464566929,448.641732283465
37,76,118,239,1.02037771449622,16278.5254237288,15953.4309623431,354.042372881356,445.457627118644
38,77,119,239,1.03793852942069,16558.6806722689,15953.4309623431,346.840336134454,455.294117647059
39,78,432,167,2.32874147465302,3848.2662037037,1652.50898203593,221.905092592593,483.252314814815
