"CellID","vacuoles","cell_area","vac_area","PM_vac_ratio","cell_mpi","vac_mpi","pm_center_x","pm_center_y"
1,42,441,456,3.29303162061764,6440.27437641723,1955.72807017544,162.619047619048,44.9047619047619
2,43,622,460,2.6905672403831,8443.65434083601,3138.24319797849,347.139871382637,54.5418006430868
3,44,406,448,2.75609255654809,10639.8891625616,3860.49776785714,118.652709359606,48.8448275862069
4,45,735,553,2.9219122259997,14741.6829931973,5045.2176016867,281.102040816327,60.1809523809524
5,46,388,418,2.39868099892152,4766.24226804124,1987.02631578947,140.572164948454,92.8994845360825
6,47,518,164,3.11850962244006,4697.65444015444,1506.37804878049,364.648648648649,106.747104247104
7,48,292,288,2.41935657001178,3229.05136986301,1334.67361111111,487.582191780822,95.6335616438356
8,49,1551,1065,3.2170670879194,16854.6447453256,5239.13374657851,339.143133462282,155.473887814313
9,50,408,524,2.88416146384853,12186.5784313725,4225.34541984733,214.051470588235,109.561274509804
10,51,297,242,2.67388975952045,4418.3265993266,1652.39669421488,161.178451178451,124.919191919192
11,52,301,113,2.0595127094444,3478.00664451827,1688.75221238938,445.740863787375,130.455149501661
12,53,350,290,3.10560196134054,10408.3714285714,3351.48275862069,248.602857142857,136.854285714286
13,54,342,449,1.91056906176432,5326.37719298246,2787.84855233853,428.140350877193,164.739766081871
14,55,421,315,3.21421062848766,15131.6057007126,4707.72063492064,202.014251781473,166.952494061758
15,56,1095,710,3.12766579899289,6299.54337899543,2014.13571137424,232.220091324201,202.898630136986
16,57,626,279,2.33807755719045,8792.07667731629,3760.38709677419,418.560702875399,200.980830670927
17,58,360,283,2.7962148882257,14911.9472222222,5332.90459363958,123.75,207.075
18,59,305,269,2.05627519179138,3503.93114754098,1704.01858736059,464.131147540984,227.695081967213
19,60,423,426,3.08094779364834,17557.5910165485,5698.76291079812,396.385342789598,244.141843971631
20,61,735,485,3.21331067856922,11224.3047619048,3493.06552795031,142.725170068027,254.341496598639
21,62,289,197,2.68892086898931,3438.51557093426,1278.77157360406,228.370242214533,257.702422145329
22,63,433,396,2.9676230400687,12935.8013856813,4358.97727272727,435.833718244804,260.632794457275
23,64,750,470,3.00091620703949,8284.592,2760.68754621211,350.096,291.06
24,65,131,41,1.16405232621809,2735.06870229008,2349.60975609756,257.801526717557,269.801526717557
25,66,400,211,2.64424666106975,12225.405,4623.3981042654,141.735,289.6925
26,67,814,546,2.43450811110233,3843.7027027027,1578.84160877258,300.485257985258,315.502457002457
27,68,457,93,1.90251670875443,10687.6433260394,5617.63440860215,389.943107221007,287.978118161926
28,69,209,93,1.87701382253994,6229.52631578947,3318.84946236559,80.8803827751196,288.851674641148
29,70,330,234,2.21155350156533,7995.34242424242,3615.26068376068,105.5,311.042424242424
30,71,380,21,3.5758215954205,10216.9736842105,2857.2380952381,168.578947368421,329.560526315789
31,72,671,534,3.19946957486049,5264.31445603577,1645.37100068074,47.795827123696,353.780923994039
32,73,431,256,2.85829727785919,9912.38515081206,3467.93359375,208.740139211137,353.983758700696
33,74,913,752,3.84110622255266,14625.2858707557,3807.57131497298,117.047097480832,380.501642935378
34,75,400,395,2.57637185709471,4838.035,1877.84810126582,411.6025,367.33
35,76,1091,890,3.03189330387917,7776.8900091659,2565.02760147124,184.941338221815,393.032080659945
36,77,760,305,2.92501342709311,9227.74473684211,3154.77004357298,245.044736842105,397.461842105263
37,78,295,52,2.7619434960617,5679.35254237288,2056.28846153846,321.461016949153,387.762711864407
38,79,712,373,3.24668639149256,16577.3778089888,5105.93750367366,362.234550561798,413.561797752809
39,80,580,191,2.85106653655083,16328.8965517241,5727.29409937888,452.234482758621,425.291379310345
40,81,384,261,3.27426845940915,9883.18489583333,3018.44061302682,321.75,428.7734375
41,82,576,259,2.20835356629132,13492.5798611111,6109.79150579151,369.432291666667,471.25
