"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"9ArrD 316 Git1GFPA_003","9ArrD 316 Git1GFPA_004","9ArrD 316 Git1GFPA_005","9ArrD 316 Git1GFPA_006","9ArrD 316 Git1GFPA_008","9ArrD Aiy1 Git1GFPA_003","9ArrD Aiy1 Git1GFPA_004","9ArrD Aiy1 Git1GFPA_005","9ArrD Aiy1 Git1GFPA_006","9ArrD Aiy1 Git1GFPA_007","9ArrD Aiy1 Git1GFPA_008","9ArrD Aly2 Git1GFPA_003","9ArrD Aly2 Git1GFPA_004","9ArrD Aly2 Git1GFPA_008","9ArrD Csr2 Git1GFPA_002","9ArrD Csr2 Git1GFPA_003","9ArrD Csr2 Git1GFPA_004","9ArrD Csr2 Git1GFPA_006","9ArrD Csr2 Git1GFPA_007","9ArrD Ecm21 Git1GFPA_003","9ArrD Ecm21 Git1GFPA_006","9ArrD Ecm21 Git1GFPA_007","9ArrD Ldb19 Git1GFPA_003","9ArrD Ldb19 Git1GFPA_005","9ArrD Ldb19 Git1GFPA_008","9ArrD Rod1 Git1GFPA_002","9ArrD Rod1 Git1GFPA_005","9ArrD Rod1 Git1GFPA_008","9ArrD Rod1 Git1GFPA_011","9ArrD Rog3 Git1GFPA_003","9ArrD Rog3 Git1GFPA_005","9ArrD Rog3 Git1GFPA_006","9ArrD Ylr392c Git1GFPA_003","9ArrD Ylr392c Git1GFPA_005","9ArrD Ylr392c Git1GFPA_007","9ArrDYgr068c Git1GFPA_005","9ArrDYgr068c Git1GFPA_006","9ArrDYgr068c Git1GFPA_007","WT 316 Git1GFPA_002","WT 316 Git1GFPA_003","WT 316 Git1GFPA_004","WT 316 Git1GFPA_005","WT 316 Git1GFPA_006","WT 316 Git1GFPA_007","WT 316 Git1GFPA_008","WT 316 Git1GFPA_009"
"0.23883314","0.13550373","0.11781007","0.16760666","0.07085518","0.22334822","0.11456243","0.15736448","0.29919880","0.14569584","0.05736254","0.12234837","0.17756176","0.22515213","0.06959779","0.11709505","0.03576585","0.09331911","0.14837560","0.05563380","0.07167048","0.36969599","0.28200580","0.16246679","0.24629358","0.02807052","0.17938884","0.03482513","0.19951794","0.12652327","0.09757069","0.20515470","0.36268737","0.06253200","0.09827229","0.10810326","0.15428960","0.06819404","0.20107462","0.12402807","0.10160909","0.09230577","0.04321696","0.06076419","0.07386506","0.17503796"
"0.19767887","0.07100934","0.08790547","0.14290617","0.12947586","0.05887499","0.14579288","0.11951824","0.19697057","0.20743308","0.06472329","0.22575349","0.19453535","0.05785433","0.07984660","0.16324923","0.20722802","0.21985094","0.13534316","0.10908520","0.18021506","0.36697754","0.12437007","0.07965801","0.20817955","0.16120967","0.21408208","0.29183017","0.08511177","0.06002866","0.26419989","0.05638953","0.24504275","0.06589276","0.12884191","0.07986954","0.17608409","0.11741334","0.07643140","0.07562055","0.04080589","0.17914888","0.07388463","0.13808521","0.05195137","0.18219649"
"0.28542185","0.03330651","0.22555059","0.17692109","0.07862783","0.07576596","0.11643175","0.05637600","0.19748487","0.13091859","0.10068438","0.04423214","0.10409301","0.08224486","0.27163141","0.10296046","0.18844698","0.10476992","0.12400532","0.05349554","0.29559895","0.20267796","0.04435212","0.33965710","0.20618484","0.09993921","0.04750764","0.12452019","0.10885762","0.16964118","0.25239653","0.08996761","0.20761483","0.18966187","0.16235430","0.06272289","0.06619018","0.07133511","0.12776839","0.17142405","0.07880480","0.17449793","0.09054570","0.08245258","0.07172627","0.09417164"
"0.09695334","0.07054023","0.07033540","0.21548550","0.08159336","0.05959528","0.24055188","0.16365661","0.13994068","0.10322103","0.08758153","0.10656748","0.13779534","0.11198919","0.09850996","0.12365536","0.30979219","0.35716657","0.13465281","0.23848644","0.04198317","0.25676712","0.09046730","0.06987405","0.05731683","0.11106959","0.25914740","0.05962573","0.11724690","0.10939459","0.23019914","0.04282836","0.15062451","0.14544117","0.22494366","0.10447700","0.06544617","0.20685213","0.08333759","0.12136759","0.08444122","0.09410784","0.10346297","0.28608178","0.07403867","0.16150234"
"0.12443874","0.20157829","0.10369103","0.13613952","0.09038331","0.06525901","0.06458884","0.15735899","0.06189037","0.17173902","0.12917039","0.19052441","0.19015068","0.05966103","0.27414747","0.10057394","0.10547174","0.12527629","0.06426025","0.24488844","0.11244188","0.15741098","0.33608613","0.07455514","0.16150195","0.06339014","0.06149172","0.04533765","0.17383271","0.07665482","0.11313375","0.28405050","0.08119379","0.21038865","0.07272820","0.17374974","0.12756328","0.29068347","0.14375333","0.23891910","0.04725263","0.19786274","0.05437781","0.07866460","0.11518541","0.21277324"
"0.23298440","0.21091483","0.11077026","0.28642921","0.11479186","0.10568471","0.30620690","0.06661456","0.04137738","0.15903638","0.06191776","0.19213669","0.24112387","0.09773321","0.12929434","0.06290069","0.16987962","0.10415579","0.30067433","0.07674437","0.14272770","0.05712250","0.30521389","0.08361578","0.19787759","0.15589182","0.11134913","0.12127384","0.06895584","0.34752054","0.10699471","0.06896467","0.31895048","0.18785381","0.07168161","0.15145542","0.12472557","0.07693089","0.06670224","0.27590663","0.03030914","0.22655837","0.05508507","0.08935923","0.18839754","0.24675375"
"0.12942477","0.11925845","0.12307948","0.33321322","0.07321816","0.16657769","0.24696677","0.21854015","0.18274381","0.10403735","0.24930141","0.11005997","0.19376146","0.18927088","0.11065120","0.18342397","0.24221157","0.10898377","0.12561625","0.21051177","0.05970076","0.24632111","0.07173125","0.17083646","0.21131433","0.27932718","0.07234214","0.08367986","0.39747048","0.41283610","0.32369035","0.06561435","0.06180376","0.14833162","0.04927217","0.12536892","0.04352445","0.10984162","0.08486626","0.13310455","0.17760531","0.17397471","0.04676754","0.10313423","0.06693690","0.07428956"
"0.07491796","0.13950419","0.13432711","0.28161398","0.24578258","0.14875830","0.08056491","0.15160241","0.29278536","0.07962469","0.07014227","0.10892799","0.10008692","0.42525038","0.23290870","0.21331158","0.16270480","0.16491894","0.18850341","0.24364036","0.16853180","0.07561982","0.11940040","0.07683009","0.16247145","0.20638899","0.05829833","0.10195203","0.12104516","0.04759647","0.20081486","0.12723457","0.10490276","0.15797726","0.25718539","0.06843674","0.07316921","0.21462623","0.08548576","0.37773088","0.08104062","0.20731868","0.07195818","0.07893355","0.17314008","0.22641550"
"0.06623507","0.16553949","0.19988219","0.17819567","0.10502813","0.13328884","0.21448518","0.25275829","0.17617564","0.05865916","0.18572639","0.12219328","0.05076914","0.17945531","0.05263285","0.06917082","0.24197387","0.04676471","0.15719868","0.21603199","0.06057627","0.21618393","0.05105716","0.04812177","0.14555919","0.32190840","0.05503473","0.09585007","0.07982983","0.05846629","0.11107366","0.05660417","0.11957589","0.20735034","0.18595527","0.26693341","0.04954276","0.09013432","0.05299198","0.22085865","0.06062642","0.11195326","0.10952994","0.23686825","0.15647133","0.09327325"
"0.17162332","0.13212504","0.05062409","0.06671197","0.22240296","0.13659484","0.34644203","0.27025942","0.04062742","0.08759375","0.05690742","0.07621034","0.12702961","0.12549464","0.28888643","0.08507119","0.40528589","0.06671268","0.12847313","0.18912367","0.06298701","0.06503667","0.11315787","0.22325998","0.24226702","0.04832720","0.17734847","0.05580529","0.19614344","0.10798321","0.23720501","0.17028070","0.04742820","0.15566610","0.06741934","0.10905529","0.07654804","0.06709280","0.09750335","0.08400615","0.15500484","0.33941120","0.25374620","0.04426346","0.17102476","0.09920052"
"0.15435868","0.18341000","0.33884444","0.20584883","0.09592538","0.14658903","0.14808626","0.04055010","0.06229379","0.16050307","0.28844654","0.33944089","0.09906336","0.05880443","0.19803288","0.09462156","0.30759219","0.06471317","0.26169343","0.26100380","0.23698994","0.13488083","0.04590441","0.17165796","0.05401178","0.09253442","0.15657923","0.04226985","0.25583266","0.33992245","0.06578354","0.16901752","0.09728584","0.11863672","0.05307098","0.16456515","0.05329721","0.27500412","0.04388282","0.07541547","0.16623715","0.26851419","0.04859739","0.06823810","0.07538024","0.31691859"
