"V1","V2","V3"
"9ArrD 316 Git1GFPA_003","9ArrD 316 Git1GFPA_004","9ArrD 316 Git1GFPA_005"
"0.03623397","0.03368081","0.03170825"
"0.03016925","0.05671895","0.14001110"
"0.02659558","0.06729114","0.06322649"
"0.06262283","0.05340975","0.04551880"
"0.05013955","0.08989397","0.13113066"
"0.05565039","0.15565734","0.08240953"
"0.10220748","0.03369439","0.02832805"
"0.03679270","0.03115024","0.03319387"
"0.03093890","0.08875815","0.04244332"
"0.03800768","0.14530606","0.13266065"
"0.09788251","0.06744801","0.02714269"
"0.11935239","0.07779988","0.12942469"
"0.02583841","0.03951350","0.11066178"
"0.09303062","0.09154468","0.04482218"
"0.1285753",,"0.0633583"
"0.03964693",,"0.05830990"
"0.1020314",,"0.0209256"
"0.07317299",,"0.16433745"
"0.03732210",,"0.05164684"
"0.01770455",,"0.08291880"
"0.01663669",,"0.11718586"
"0.04674824",,"0.16602722"
"0.02451820",,"0.05255543"
,"0.02414332","0.03863961"
,"0.07334289","0.03623465"
,"0.07008143","0.04755597"
,"0.06971604","0.06122743"
,"0.04386397","0.08933703"
,"0.04056513","0.02886758"
,"0.03242721","0.02014605"
,"0.20590597","0.06253692"
,"0.06134217","0.04188755"
,"0.06190121","0.07869509"
,"0.14145998","0.04872073"
,"0.02862640","0.01610724"
,"0.02106458","0.11919706"
,"0.08338514","0.05581330"
,"0.22518944","0.06272269"
"0.04576375","0.04733046",
"0.05958888","0.03543658",
"0.07775432","0.04000229",
"0.07240462","0.22094887",
"0.12416130","0.06442286",
"0.0337167","0.1161661",
"0.03581399","0.07432415",
"0.1344142","0.1795136",
"0.06909259",,
"0.06435156",,
"0.1055225",,
"0.05260022",,
"0.03607633",,
,"0.05621201",
,"0.08447692",
,"0.06293829",
,"0.02562237",
,"0.0612706",
,,"0.07827812"
,,"0.09818883"
,,"0.06181543"
,,"0.08929297"
,,"0.03869837"
,,"0.1495366"
,,"0.145056"
,,"0.03055681"
,,"0.05655729"
,,"0.07103917"
,,"0.05227792"
,,"0.1237849"
,,"0.09929066"
,,"0.04712013"
,,"0.2304598"
,,"0.05420367"
