9ArrD Ato2 A,9ArrD Ato2 C,BY4741 Ato2 A,BY4741 Ato2 B,ldb19D Ato2 A,ldb19D Ato2 B
0.7355358,0.7317006,0.5139048,0.4738143,0.5690072,0.9791636
0.6117032,0.5889483,0.4468874,0.4070054,0.6621114,0.4954808
0.6843376,0.6537987,0.5423594,0.5061438,0.5571071,0.9418082
0.6099477,0.8734507,0.4449884,0.5234805,0.4616511,0.5072942
0.6942548,0.6208766,0.5181461,0.5165124,0.6459284,0.7968121
0.8492988,0.5877451,0.4950032,0.5644867,0.6080218,0.5294636
0.9390107,0.6520394,0.7707458,0.5444312,0.5752624,0.6722692
0.580916,0.6687594,0.4123445,0.5256531,0.9407799,0.6291212
0.4517128,0.5665249,0.9701276,0.4234195,0.4054503,0.8254688
0.6864949,0.8883352,0.7566343,0.5004016,0.5200961,0.5265391
0.5279487,0.5967839,0.9382278,0.4572547,0.6530955,0.8998851
0.6182177,0.6235692,0.5352312,0.5552046,0.659267,0.5369051
0.5136863,0.6587399,0.5408487,0.6798916,0.6277136,0.9438728
0.9539179,0.6373513,0.4825776,0.5244975,1.0556677,0.5997168
0.8668448,0.7275632,0.5080982,0.4937172,0.5376089,0.6433765
0.4841885,0.7073435,0.5838876,0.6721609,0.5938215,0.7555836
0.7145049,0.6051135,0.4340685,0.6420139,0.7159652,0.6347754
0.6742489,0.4337381,0.5339054,0.7670142,0.5535285,0.5061445
0.7097644,0.4846486,0.5942225,0.6451092,0.674614,0.5375239
0.562206,0.5847496,0.5503624,0.6469235,0.544863,0.6316825
0.8933311,0.5791302,0.4700693,0.5662659,0.5499609,0.5601905
0.6293302,0.6096395,0.561077,0.7559894,0.590032,0.9535063
0.6889549,0.6099377,0.8920342,0.8345548,0.4250639,0.6030395
0.5871981,0.6796133,0.5887583,0.5284501,0.4700293,0.5393709
0.6857031,1.0017443,0.556557,0.5690159,0.6287353,1.0057361
0.9791529,0.7145388,0.6305786,0.9678571,0.4833417,0.6648769
0.7058242,0.6808404,0.4774985,0.4499904,0.57829,0.6249242
0.6747291,0.6053667,0.389384,0.5863188,0.575104,0.6350124
