BY4741 Ctr1 A,BY4741 Ctr1 B,ldb19D Ctr1 A,ldb19D Ctr1 B,9ArrD Ctr1 C,9ArrD Ctr1 D
1.3221885,1.0527964,1.0456822,1.2004097,1.1022075,0.9341137
0.9745667,0.9111969,1.1305416,1.0894846,1.0976698,1.1537715
1.1623962,1.1228521,0.9945821,0.8910078,1.1854664,0.9533791
1.0442288,0.9938342,1.1743721,0.9461578,1.089593,1.2521946
0.9681931,1.2727735,0.9773416,1.0796952,1.221104,1.2221985
1.1316111,0.9932165,1.0250831,1.1773642,1.0807108,1.1735359
1.0093,1.1924439,1.1745307,0.9153526,0.9569719,0.8969537
1.016127,1.073067,1.006259,1.165298,1.09331,1.11456
0.963452,1.108538,1.070185,1.095931,1.034803,1.204292
0.9401356,0.966362,1.0657344,1.0066166,1.1093883,1.1865353
0.9821782,1.0635989,1.1885437,1.0964393,1.2386245,1.2232821
1.035421,1.184528,0.93026,1.244221,1.21011,1.261195
1.0421783,0.9509025,0.9232519,1.2087246,0.8606455,1.1944889
1.234137,1.124822,1.02776,1.193361,1.063836,1.323205
0.919871,0.4747976,1.1466148,1.2618302,1.3041087,1.2170299
1.1127332,0.9149806,1.0421044,0.9932365,1.0902943,1.3010569
1.163001,1.223687,1.077507,1.16517,1.131446,1.025568
1.239625,1.026068,1.02974,1.052432,0.944199,1.036449
0.8887958,1.0887917,0.8771468,1.1367123,1.0133997,1.1197729
0.9858619,1.0676063,1.0495676,0.9111526,1.0597503,1.1202813
0.9559456,1.1702988,0.9477501,1.1565555,1.0897908,0.9700633
1.0176467,1.1896792,1.3082818,0.9976959,1.003719,0.8886466
1.1326194,1.1642551,0.9508725,1.102904,1.3458443,1.1254331
0.9472012,0.881439,1.1334215,0.8786008,1.1759192,1.08542
0.9234089,1.1778221,1.1524971,1.0151707,0.9714245,1.0528984
1.064539,1.045101,1.328221,1.071074,1.075156,1.124564
1.2973061,0.9738661,1.0921897,1.1793633,1.0172244,1.1524147
0.9973073,1.0583281,0.9812443,1.027749,1.0101614,1.1821151
1.1839355,1.1280704,1.367525,1.1201295,0.9970233,1.143209
1.101059,1.199105,1.0240978,0.9325037,1.4416201,0.9781469
0.952963,1.1980185,0.9547878,1.1147928,1.3251662,1.2608223
0.9701464,1.1223159,0.9687816,1.142485,0.9581878,1.3632273
1.1689861,0.9320952,1.080981,1.0429893,0.9885201,1.0956544
0.9515277,0.9623657,0.9722536,1.0054911,1.2521722,1.2755055
1.028572,1.01685,1.084605,1.110506,1.35443,1.21024
